Ride_ID,Timestamp,Pickup_Location,Dropoff_Location,Distance_km,Fare,Ride_Type,Passenger_Count,Payment_Method
a18e67f4-1988-4364-b968-88cf037cfda4,2025-04-02 10:05:53,South Antonio,New Shelby,18.82,89.99,UberBlack,3,Cash
6fa2a300-3a30-4438-98d9-a7d4ae3c6f13,2025-03-15 07:54:31,North Jared,North Alexandra,23.21,58.17,UberXL,1,PayPal
05b458f0-8432-4165-9162-fd07235b205c,2025-01-27 09:39:34,North David,Mccallport,2.54,75.46,UberComfort,4,Cash
a64c6505-a2d6-46e9-b21d-c2dfdbfc9dcf,2025-01-01 14:18:32,Stephaniemouth,Port Johntown,7.17,87.12,UberX,4,PayPal
84ca0aad-c9bb-4696-a82d-73fff98a89bc,2025-03-26 10:21:11,West Dawnton,West Kristybury,18.89,30.37,UberBlack,4,Credit Card
7cacf308-2b80-4b99-a549-9da2574537fc,2025-03-18 13:45:38,South Anthonyburgh,Juanhaven,22.35,98.79,UberComfort,3,PayPal
ba7965bb-312b-4eaa-98cc-02ea36490166,2025-01-16 19:41:27,Kellyberg,Steventown,14.87,47.11,UberBlack,4,PayPal
b387419a-2108-4695-b32a-cc36338c0b6f,2025-03-16 11:42:10,Benjaminchester,Stephaniemouth,8.69,5.15,UberComfort,4,PayPal
a77e101d-bd2d-4cb5-a043-0dc21425f85f,2025-01-06 20:20:33,West Shannonfurt,East Tamara,24.27,78.38,UberXL,4,Credit Card
07d02270-3d29-45e8-b39d-27cbc87f070b,2025-02-01 13:13:30,Harperton,West Andrew,11.81,23.74,UberBlack,1,Cash
86b1d39d-db64-40a5-bfa8-050359ab0d4f,2025-02-27 21:04:07,Millerton,Millerview,5.87,13.67,UberXL,3,Cash
8eaaf02e-9fca-40b7-a398-9900d928bbb9,2025-01-23 18:39:24,Port Eric,Port Jessicamouth,23.59,8.89,UberX,3,PayPal
4ea71236-8aee-40b2-aaff-2d0372d989a7,2025-03-22 11:28:06,Stewarttown,Grossville,24.27,48.03,UberPool,1,Cash
fd6451d3-20c9-4e78-8929-e5b178094fb6,2025-02-01 17:50:34,Duffybury,Lake Justin,8.44,5.92,UberPool,4,Credit Card
4e8288d9-0cee-4e03-88aa-46ae47b856e7,2025-01-08 06:51:51,New Jamesborough,East Elizabeth,27.98,9.16,UberComfort,3,Credit Card
a520588e-2e6d-4309-a380-0bd762cce1c4,2025-01-12 16:26:34,Lake Annetteville,Jimmyfort,3.08,27.06,UberXL,2,Credit Card
0ba62a33-adfa-45bb-9cb8-e94039d85a7b,2025-03-15 08:08:35,Bradfordburgh,North Karla,7.61,14.18,UberX,1,Credit Card
c863960a-54cd-4ead-b435-6d23e9b55b1f,2025-01-11 19:41:34,Transtad,Rebeccafurt,5.72,36.8,UberX,1,PayPal
f3c16d78-9802-4ac0-882f-f6ff35f177f3,2025-02-22 00:46:56,South Elizabeth,Smithview,13.6,37.25,UberX,3,Cash
41c932da-a197-422d-b0cf-91232c035a55,2025-01-01 10:48:06,Port Tonyland,Ruizland,26.31,21.06,UberPool,3,PayPal
75aefff2-47ca-4a30-abb3-0e5bff9c6244,2025-02-18 04:57:30,East Tiffany,Gavinmouth,15.3,54.49,UberX,1,PayPal
244af584-ca41-4057-84e8-1fb74fe11fb9,2025-01-02 18:26:32,Reynoldsburgh,Jamesborough,26.41,37.54,UberComfort,3,Credit Card
b6ec43df-8362-4d22-bcf9-5ddf1b278847,2025-01-15 17:45:08,Cruzport,Olsonland,21.18,25.85,UberComfort,4,Cash
6a25217b-099f-4889-a9ff-748e4206d088,2025-01-06 00:54:18,Brownfort,New Michaelshire,18.38,6.89,UberBlack,4,PayPal
0b644a31-2086-45b0-83f8-6a15c1460428,2025-03-15 05:21:24,New Thomas,Lake Willieton,12.37,7.99,UberComfort,4,Cash
3890a8d8-eb54-450c-a296-52729f2d330a,2025-03-16 02:01:13,South Ricardohaven,Tiffanyside,23.37,84.47,UberX,1,Credit Card
5f87a36e-94a1-478c-b49a-05aa9365bb17,2025-02-01 21:23:30,New Nancyfort,Port Chad,11.42,28.08,UberPool,1,PayPal
9ba85f00-76c2-4f2f-b2a7-454d113902ee,2025-02-04 10:46:30,Darrellport,Andersonburgh,10.49,62.96,UberBlack,3,PayPal
acfe07b7-f8ea-46d5-b8d7-3718289184ca,2025-01-25 06:59:57,Maureenton,South Davidview,16.26,64.35,UberPool,1,Cash
341c50a8-617c-4539-9b43-91f880f73751,2025-03-27 05:55:50,West Brandon,West Jonathan,17.43,38.02,UberPool,1,Credit Card
86a1b7f9-404d-4199-ad71-a4040278d734,2025-03-02 14:47:05,Lake Nicole,Johnshire,21.63,20.71,UberComfort,1,Cash
1ebbe7f7-6154-4c8b-bd12-fa2a68eb217f,2025-03-08 04:02:34,Foxport,Salasfort,14.49,14.77,UberComfort,2,Credit Card
c9847f56-707d-448a-b92a-f5f6c4410b8c,2025-01-07 14:21:48,Lake Russellstad,East Michelle,13.87,92.55,UberComfort,2,PayPal
d99aae29-effc-46f4-8ecd-95be4979e00d,2025-01-10 11:52:04,Sullivanfurt,Danielsland,20.69,24.9,UberComfort,4,PayPal
11e452ad-bee0-4e3e-a07a-ffa825f83908,2025-04-01 23:07:51,Lake Richardburgh,Turnerton,7.72,70.1,UberBlack,1,Credit Card
3c602f94-00db-4351-b058-3826e1706d29,2025-03-09 14:36:24,North Troyberg,Kristenhaven,19.64,51.03,UberX,1,Credit Card
81873aaf-29a5-4c19-a181-164b62dd057a,2025-04-03 11:37:46,Ritterburgh,North Hector,22.39,70.43,UberBlack,4,Credit Card
c9f87167-ed55-47ed-bec4-a7de01c30555,2025-01-03 09:57:15,Garcialand,North Heidi,6.15,35.22,UberXL,3,Credit Card
b14c00b6-861f-4bca-9901-76c309ed7c6c,2025-03-07 23:21:25,Lake Jamesfurt,Port Scott,6.85,76.91,UberComfort,3,PayPal
36aa1e72-c757-463d-91ac-765bbf3cd3ea,2025-02-11 03:35:38,Robinsonbury,Davismouth,11.63,81.63,UberXL,4,Cash
45995885-daca-4ba0-ae1f-92aef5722af3,2025-03-12 19:02:27,North Tyrone,Weeksville,15.25,5.52,UberBlack,2,Credit Card
2f710dd1-e997-4442-987e-d5f198e951a5,2025-01-19 20:42:32,Walkerview,New Linda,20.41,53.94,UberComfort,4,Cash
1577daf6-9d9f-47f5-8d25-4127bdf796f2,2025-01-19 15:22:10,Janicehaven,New Brianna,12.81,19.05,UberXL,2,Cash
d2ffdac4-da50-4e73-a8cb-55501c55689b,2025-01-16 07:52:28,Claudiahaven,South Joel,7.71,76.75,UberPool,1,PayPal
3396c9b2-b26d-4914-a15a-3266e694fba5,2025-01-08 05:53:31,West Robert,Kennedychester,4.64,24.01,UberPool,4,PayPal
ccd2f9c1-71a2-4f68-ba94-0ca104bf77f5,2025-02-10 14:00:39,Nancymouth,Lake Pamela,14.11,54.99,UberXL,1,PayPal
0f839699-a73d-4238-8b9f-0669408490ab,2025-03-20 21:03:06,North Todd,New Carrieberg,6.98,76.91,UberXL,2,PayPal
1dd4b3b3-87c3-44aa-8e8f-7254e7f937d5,2025-01-21 11:53:37,Smithport,Amandaville,25.96,17.45,UberBlack,4,PayPal
a09575a2-b82e-40b3-b138-57cf1c542be4,2025-03-31 14:46:29,Davidborough,Port Jennifermouth,9.99,70.36,UberBlack,2,PayPal
f3319fc8-80fa-4df6-a8e6-2e8d18f442de,2025-02-04 18:50:04,West Mitchell,Port Anaborough,18.98,6.07,UberComfort,2,Credit Card
67aaa58d-00f4-44cc-a6c6-e0ef0f7afda2,2025-03-27 07:13:46,Gailburgh,New Connie,11.58,37.5,UberXL,3,Credit Card
43038d70-46dc-4357-8d1d-d81b735a8e17,2025-03-29 19:21:59,Bowenstad,West Joshuashire,9.36,20.88,UberX,4,Cash
3d71aedd-6d43-4b6d-a224-720041ca3844,2025-02-14 19:52:19,Port Katherineborough,Jordanville,23.56,33.34,UberX,3,PayPal
74428069-c7b7-4015-b5a0-eeae57130be2,2025-01-26 17:44:33,Mitchellville,Devinchester,22.96,46.52,UberComfort,3,PayPal
